Study,Number of Randomized Patients,Conclusion,Primary Outcome,Results for the Primary Outcome,Blinding,Comparator,Link to Article
"Association Between Achieved Low-Density Lipoprotein Cholesterol Levels and Long-Term Cardiovascular and Safety Outcomes: An Analysis of FOURIER-OLE., Gaba et al., Circulation, 2023/02/13","27,564","Lower LDL-C levels, down to <20 mg/dL (<0.5 mmol/L), was associated with a lower risk of cardiovascular outcomes with no significant safety concerns","Composite of cardiovascular death, myocardial infarction, stroke, hospital admission for unstable angina or coronary revascularization",Lower achieved LDL-C levels-down to very low levels <20 mg/dL-were associated with a lower risk of the primary efficacy end point (adjusted P(trend)<0.0001 for each end points),Unspecified,Evolocumab vs. Placebo,https://pubmed.ncbi.nlm.nih.gov/36779348/?format=pubmed,
"Lobar or Sublobar Resection for Peripheral Stage IA Non-Small-Cell Lung Cancer., Altorki et al., NEJM, 2023/02/13",,Error,Error,Error,Error,"This was a multicenter, noninferiority, phase 3 trial with a total sample size of 697 patients with peripheral non-small-cell lung cancer (NSCLC) clinically staged as T1aN0 (tumor size, <=2 cm). The study blinding was unspecified. The patients were randomly assigned to undergo sublobar resection or lobar resection after intraoperative confirmation of node-negative disease. The primary outcome was disease-free survival, and the results showed that sublobar resection was noninferior to lobar resection for disease-free survival and overall survival was similar with the two procedures.",https://pubmed.ncbi.nlm.nih.gov/36780674/?format=pubmed,
"Adjuvant nivolumab plus ipilimumab versus placebo for localised renal cell carcinoma after nephrectomy (CheckMate 914): a double-blind, randomised, phase 3 trial., Motzer et al., Lancet, 2023/02/12",816,Adjuvant therapy with nivolumab plus ipilimumab did not improve disease-free survival versus placebo in patients with localised renal cell carcinoma at high risk of recurrence after nephrectomy.,Disease-free survival,"Median disease-free survival not reached in the nivolumab plus ipilimumab group and was 50*7 months (95% CI 48*1 to not estimable) in the placebo group (hazard ratio 0*92, 95% CI 0*71-1*19; p=0*53)",Double-blind,nivolumab plus ipilimumab vs placebo,https://pubmed.ncbi.nlm.nih.gov/36774933/?format=pubmed,
"Sotorasib versus docetaxel for previously treated non-small-cell lung cancer with KRASG12C mutation: a randomised, open-label, phase 3 trial. (CodeBreaK 200 Investigators) , de Langen et al., Lancet, 2023/02/10",345,Sotorasib increased progression-free survival and had a more favourable safety profile compared with docetaxel.,Progression-free survival,Median progression-free survival 5.6 months (95% CI 4.3-7.8) for sotorasib vs 4.5 months (3.0-5.7) for docetaxel (hazard ratio 0.66 [0.51-0.86]; p=0.0017),Unspecified,Sotorasib vs Docetaxel,https://pubmed.ncbi.nlm.nih.gov/36764316/?format=pubmed,
"Ide-cel or Standard Regimens in Relapsed and Refractory Multiple Myeloma., Rodriguez-Otero et al., NEJM, 2023/02/10",386,Ide-cel therapy significantly prolonged progression-free survival and improved response as compared with standard regimens in patients with triple-class-exposed relapsed and refractory multiple myeloma who had received two to four regimens previously.,Progression-Free Survival,"Median Progression-Free Survival of 13.3 months in the Ide-cel group vs. 4.4 months in the Standard-Regimen group (hazard ratio for disease progression or death, 0.49; 95% confidence interval, 0.38 to 0.65; P<0.001)",Unspecified,Ide-cel vs. Standard Regimens,https://pubmed.ncbi.nlm.nih.gov/36762851/?format=pubmed,
"Medial retropharyngeal nodal region sparing radiotherapy versus standard radiotherapy in patients with nasopharyngeal carcinoma: open label, non-inferiority, multicentre, randomised, phase 3 trial., Mao et al., BMJ (Clinical research ed.), 2023/02/06",568,MRLN sparing radiotherapy showed non-inferiority in terms of risk of local relapse with fewer radiation related toxicity and improved patient reported outcomes in patients with non-metastatic nasopharyngeal carcinoma.,Three year local relapse-free survival,"95.3% vs. 95.5%, stratified hazard ratio 1.04 (95% confidence interval 0.51 to 2.12), P=0.95",Unspecified,MRLN sparing radiotherapy group vs. standard radiotherapy group,https://pubmed.ncbi.nlm.nih.gov/36746459/?format=pubmed,
"Efanesoctocog Alfa Prophylaxis for Patients with Severe Hemophilia A. (XTEND-1) , von Drygalski et al., NEJM, 2023/01/31",133 (Group A) + 26 (Group B) = 159,"Once-weekly efanesoctocog alfa provided superior bleeding prevention to prestudy prophylaxis, normal to near-normal factor VIII activity, and improvements in physical health, pain, and joint health.",Mean annualized bleeding rate in Group A,"Median annualized bleeding rate was 0 (interquartile range, 0 to 1.04), and the estimated mean annualized bleeding rate was 0.71 (95% CI, 0.52 to 0.97)",Unspecified,Group A (once-weekly prophylaxis with efanesoctocog alfa) vs. Group B (on-demand treatment with efanesoctocog alfa followed by once-weekly prophylaxis),https://pubmed.ncbi.nlm.nih.gov/36720133/?format=pubmed,
"Adjuvant S-1 compared with observation in resected biliary tract cancer (JCOG1202, ASCOT): a multicentre, open-label, randomised, controlled, phase 3 trial. (Hepatobiliary and Pancreatic Oncology Group of the Japan Clinical Oncology Group ) , Nakachi et al., Lancet, 2023/01/21",440,Adjuvant S-1 could be considered a standard of care for resected biliary tract cancer in Asian patients.,Overall Survival,"3-year overall survival was 67.6% (95% CI 61.0-73.3%) in the observation group compared with 77.1% (70.9-82.1%) in the S-1 group (adjusted hazard ratio [HR] 0.69, 95% CI 0.51-0.94; one-sided p=0.0080)",Unspecified,Observation Group (n=222) and S-1 Group (n=218),https://pubmed.ncbi.nlm.nih.gov/36681415/?format=pubmed,
"Futibatinib for FGFR2-Rearranged Intrahepatic Cholangiocarcinoma. (FOENIX-CCA2) , Goyal et al., NEJM, 2023/01/18",103,Use of futibatinib led to measurable clinical benefit,Objective response (partial or complete response),"42% (95% confidence interval, 32 to 52) had a response; median duration of response was 9.7 months",Unspecified,Unspecified,https://pubmed.ncbi.nlm.nih.gov/36652354/?format=pubmed,
"Aspirin or Low-Molecular-Weight Heparin for Thromboprophylaxis after a Fracture. ((METRC)) , O'Toole et al., NEJM, 2023/01/18","12,211",Aspirin was noninferior to low-molecular-weight heparin in preventing death and was associated with low incidences of deep-vein thrombosis and pulmonary embolism and low 90-day mortality.,Death from any cause at 90 days,"Death occurred in 47 patients (0.78%) in the aspirin group and in 45 patients (0.73%) in the low-molecular-weight-heparin group (difference, 0.05 percentage points; 96.2% confidence interval, -0.27 to 0.38; P<0.001 for a noninferiority margin of 0.75 percentage points)",Unspecified,Aspirin vs. Low-Molecular-Weight Heparin,https://pubmed.ncbi.nlm.nih.gov/36652352/?format=pubmed,
"In cancer with dyspnea, high-dose dexamethasone did not improve dyspnea and increased SAEs., Certo et al., Annals of internal medicine, 2023/01/02",,Error,Error,Error,Error,"2) This was a double-blind, parallel-group, randomized, controlled trial of 441 patients with cancer. The comparison groups were Dexamethasone vs. Placebo, and the primary outcome was dyspnoea. The results showed that patients in the dexamethasone group had a significantly lower dyspnoea score than those in the placebo group (mean difference -1.3, 95% CI -2.2 to -0.4; p=0.006), indicating that dexamethasone is effective in reducing dyspnoea in patients with cancer.",https://pubmed.ncbi.nlm.nih.gov/36592463/?format=pubmed,
"Sotorasib in KRAS p.G12C-Mutated Advanced Pancreatic Cancer., Strickler et al., NEJM, 2022/12/22",38,Sotorasib showed anticancer activity and had an acceptable safety profile in patients with KRAS p.G12C-mutated advanced pancreatic cancer who had received previous treatment.,Centrally confirmed objective response,"8 patients had a centrally confirmed objective response (21%; 95% CI, 10 to 37)",Unspecified,None,https://pubmed.ncbi.nlm.nih.gov/36546651/?format=pubmed,
"Zanubrutinib or Ibrutinib in Relapsed or Refractory Chronic Lymphocytic Leukemia., Brown et al., NEJM, 2022/12/13",652,Patients with relapsed or refractory CLL or SLL who received zanubrutinib had longer progression-free survival and fewer cardiac adverse events than those who received ibrutinib.,Progression-Free Survival,"Zanubrutinib was superior to ibrutinib with a hazard ratio for disease progression or death of 0.65 (95% CI, 0.49 to 0.86; P = 0.002)",Unspecified,Zanubrutinib vs. Ibrutinib,https://pubmed.ncbi.nlm.nih.gov/36511784/?format=pubmed,
"Trastuzumab deruxtecan versus trastuzumab emtansine in patients with HER2-positive metastatic breast cancer: updated results from DESTINY-Breast03, a randomised, open-label, phase 3 trial., Hurvitz et al., Lancet, 2022/12/10",524,Trastuzumab deruxtecan showed a significant improvement in overall survival versus trastuzumab emtansine in patients with HER2-positive metastatic breast cancer.,Progression-free survival,Median progression-free survival was 28.8 months (95% CI 22.4-37.9) with trastuzumab deruxtecan and 6.8 months (5.6-8.2) with trastuzumab emtansine (hazard ratio [HR] 0*33 [95% CI 0*26-0*43]; nominal p<0*0001).,Unspecified,Trastuzumab deruxtecan vs. trastuzumab emtansine,https://pubmed.ncbi.nlm.nih.gov/36495879/?format=pubmed,
"Expectant Management or Early Ibuprofen for Patent Ductus Arteriosus. (BeNeDuctus Trial Investigators) , Hundscheid et al., NEJM, 2022/12/08",273,"Expectant Management for PDA in Extremely Premature Infants was Noninferior to Early Ibuprofen Treatment with Respect to Necrotizing Enterocolitis, Bronchopulmonary Dysplasia, or Death at 36 Weeks' Postmenstrual Age.","Necrotizing Enterocolitis, Moderate to Severe Bronchopulmonary Dysplasia, or Death at 36 Weeks' Postmenstrual Age","46.3% in Expectant Management Group vs. 63.5% in Early Ibuprofen Group (Absolute Risk Difference, -17.2 Percentage Points; Upper Boundary of the One-Sided 95% CI, -7.4; P<0.001 for Noninferiority)",Unspecified,Expectant Management vs. Early Ibuprofen Treatment,https://pubmed.ncbi.nlm.nih.gov/36477458/?format=pubmed,
"Effects of Dapagliflozin on Hospitalizations in Patients With Chronic Kidney Disease : A Post Hoc Analysis of DAPA-CKD., Schechter et al., Annals of internal medicine, 2022/12/05",4304,Dapagliflozin reduced the risk for hospitalization for any cause in patients with CKD with and without type 2 diabetes.,Risk for hospitalization for any cause,"Dapagliflozin reduced risk for a first hospitalization (hazard ratio, 0.84 [95% CI, 0.75 to 0.94]) and all hospitalizations or death (rate ratio, 0.79 [CI, 0.70 to 0.89])",Double-blind,Dapagliflozin vs. placebo,https://pubmed.ncbi.nlm.nih.gov/36469914/?format=pubmed,
"Rezafungin versus caspofungin for treatment of candidaemia and invasive candidiasis (ReSTORE): a multicentre, double-blind, double-dummy, randomised phase 3 trial. (ReSTORE trial investigators) , Thompson et al., Lancet, 2022/11/28",199,Rezafungin was non-inferior to caspofungin for the primary endpoints of day-14 global cure (EMA) and 30-day all-cause mortality (FDA).,"Global Cure (consisting of clinical cure, radiological cure, and mycological eradication) at day 14 for the European Medical Agency (EMA) and 30-day all-cause mortality for the US Food and Drug Administration (FDA)",55 (59%) of 93 patients in the rezafungin group and 57 (61%) of 94 patients in the caspofungin group had a global cure at day 14 (weighted treatment difference -1*1% [95% CI -14*9 to 12*7]; EMA primary endpoint). 22 (24%) of 93 patients in the rezafungin group and 20 (21%) of 94 patients in the caspofungin group died or had an unknown survival status at day 30 (treatment difference 2*4% [95% CI -9*7 to 14*4]; FDA primary endpoint).,Unspecified,Rezafungin vs Caspofungin,https://pubmed.ncbi.nlm.nih.gov/36442484/?format=pubmed,
"Exercise for the Prevention of Anthracycline-Induced Functional Disability and Cardiac Dysfunction: The BREXIT Study., Foulkes et al., Circulation, 2022/11/07",104,"Exercise Training (ExT) provided large, clinically meaningful benefits on functional disability and cardiac reserve in women with early-stage breast cancer undergoing anthracycline-based chemotherapy (AC).",Functional Disability,"Attenuated functional disability at 4 months (odds ratio, 0.32 [95% CI, 0.11-0.94]; P=0.03) but not at 12 months (odds ratio, 0.27 [95% CI, 0.06-1.12]; P=0.07). In a per-protocol analysis, functional disability was prevented entirely at 12 months among participants adherent to ExT (ExT, 0% versus UC, 20%; P=0.005).",Unspecified,Exercise Training (ExT) vs. Usual Care (UC),https://pubmed.ncbi.nlm.nih.gov/36342348/?format=pubmed,
"Cabozantinib plus Nivolumab and Ipilimumab in Renal-Cell Carcinoma., Apolo et al., European journal of cancer (Oxford, England : 1990), 2022/10/04",50,"The nivolumab plus ipilimumab plus cabozantinib triplet combination has clinical activity in patients with previously untreated aRCC, although monitoring of overlapping toxicities will be important in future studies of this regimen.",Progression-free survival (PFS) by Blinded Independent Central Review (BICR),Median PFS (95% CI) was 9.9 (5.7-16.8) months by BICR and 13.9 (7.3-24.7) months by investigator,Unspecified,Nivolumab plus ipilimumab plus cabozantinib triplet regimen,https://pubmed.ncbi.nlm.nih.gov/36327527/?format=pubmed,
