"Study","Number of Randomized Patients","Conclusion","Primary Outcome","Results for the Primary Outcome","Blinding","Comparator","Link to Article"
"Evolving Real-World Effectiveness of Monoclonal Antibodies for Treatment of COVID-19 : A Cohort Study., Kip et al., Annals of internal medicine, 2023/04/03","8,706","Early mAb treatment among outpatients with COVID-19 is associated with lower risk for hospitalization or death for various mAb products and SARS-CoV-2 variants.","Hospitalization or Death at 28 Days","4.6% in Treated Patients vs. 7.6% in Nontreated Control Patients (RR, 0.61 [95% CI, 0.50 to 0.74])","Unspecified","Treated Patients vs. Nontreated Control Group","https://pubmed.ncbi.nlm.nih.gov/37011399/?format=pubmed",
"Inflammation and cholesterol as predictors of cardiovascular events among patients receiving statin therapy: a collaborative analysis of three randomised trials. (PROMINENT,) , Ridker et al., Lancet, 2023/03/09","31,245","Inflammation was a stronger predictor for risk of future cardiovascular events and death than cholesterol.","Major Adverse Cardiovascular Events, Cardiovascular Death, and All-Cause Death","Residual inflammatory risk was significantly associated with incident major adverse cardiovascular events (highest high-sensitivity CRP quartile vs lowest high-sensitivity CRP quartile, adjusted HR 1*31, 95% CI 1*20-1*43; p<0*0001), cardiovascular mortality (2*68, 2*22-3*23; p<0*0001), and all-cause mortality (2*42, 2*12-2*77; p<0*0001). By contrast, the relationship of residual cholesterol risk was neutral for major adverse cardiovascular events (highest LDLC quartile vs lowest LDLC quartile, adjusted HR 1*07, 95% CI 0*98-1*17; p=0*11), and of low magnitude for cardiovascular death (1*27, 1*07-1*50; p=0*0086) and all-cause death (1*16, 1*03-1*32; p=0*025).","Unspecified","PROMINENT, REDUCE-IT, and STRENGTH trials","https://pubmed.ncbi.nlm.nih.gov/36893777/?format=pubmed",
"Electronic nudges to increase influenza vaccination uptake in Denmark: a nationwide, pragmatic, registry-based, randomised implementation trial., Johansen et al., Lancet, 2023/03/08","964,870","Electronically delivered letters highlighting potential cardiovascular benefits of influenza vaccination or sent again as a reminder significantly increased vaccination uptake across Denmark.","Receipt of influenza vaccination on or before Jan 1, 2023","Compared with usual care, influenza vaccination rates were higher in the group receiving an electronic letter highlighting potential cardiovascular benefits of vaccination (81*00% vs 80*12%; difference 0*89 percentage points [99*55% CI 0*29-1*48]; p<0*0001) and the group receiving repeated letters at randomisation and at day 14 (80*85% vs 80*12%; difference 0*73 percentage points [0*13-1*34]; p=0*0006).","Unspecified","Usual care vs 9 different electronic letters","https://pubmed.ncbi.nlm.nih.gov/36889332/?format=pubmed",
"Exploring the Relationship Between Efpeglenatide Dose and Cardiovascular Outcomes in Type 2 Diabetes: Insights From the AMPLITUDE-O Trial., Gerstein et al., Circulation, 2023/02/21","3,539","Titrating efpeglenatide to high doses may maximize its cardiovascular and renal benefits.","Major adverse cardiovascular events (MACE)","9.2% of participants assigned to placebo experienced MACE, 6.2% of participants assigned to 6 mg of efpeglenatide (hazard ratio [HR], 0.65 [95% CI, 0.5-0.86]; P=0.0027), and 7.7% assigned to 4 mg of efpeglenatide (HR, 0.82 [95% CI, 0.63-1.06]; P=0.14)","Unspecified","Placebo, 4 mg, 6 mg of efpeglenatide","https://pubmed.ncbi.nlm.nih.gov/36802715/?format=pubmed",
"Lobar or Sublobar Resection for Peripheral Stage IA Non-Small-Cell Lung Cancer., Altorki et al., NEJM, 2023/02/13","697","Sublobar resection was not inferior to lobectomy with respect to disease-free survival. Overall survival was similar with the two procedures.","Disease-Free Survival","Sublobar resection was noninferior to lobar resection for disease-free survival (hazard ratio for disease recurrence or death, 1.01; 90% confidence interval [CI], 0.83 to 1.24). 5-year disease-free survival was 63.6% (95% CI, 57.9 to 68.8) after sublobar resection and 64.1% (95% CI, 58.5 to 69.0) after lobar resection.","Unspecified","Sublobar Resection vs. Lobar Resection","https://pubmed.ncbi.nlm.nih.gov/36780674/?format=pubmed",
"Sodium bicarbonate for kidney transplant recipients with metabolic acidosis in Switzerland: a multicentre, randomised, single-blind, placebo-controlled, phase 3 trial., Mohebbi et al., Lancet, 2023/01/28","242","Treatment with sodium bicarbonate should not be generally recommended to preserve estimated GFR in kidney transplant recipients with chronic kidney disease who have metabolic acidosis.","Estimated GFR slope over the 24-month treatment phase","No significant difference between treatment groups (mean difference 0.032 mL/min per 1.73 m2 per year)","Single-blind","Sodium bicarbonate vs. Placebo","https://pubmed.ncbi.nlm.nih.gov/36708734/?format=pubmed",
"Duration of Device-Based Fever Prevention after Cardiac Arrest., Hassager et al., NEJM, 2022/11/07","393 and 396","Active device-based fever prevention for 36 or 72 hours after cardiac arrest did not result in significantly different percentages of patients dying or having severe disability or coma.","Composite of death from any cause or hospital discharge with a Cerebral Performance Category of 3 or 4","32.3% in the 36-hour group and 33.6% in the 72-hour group (hazard ratio, 0.99; 95% confidence interval, 0.77 to 1.26; P = 0.70)","Unspecified","Device-based temperature control targeting 36degC for 24 hours followed by targeting of 37degC for either 12 or 48 hours","https://pubmed.ncbi.nlm.nih.gov/36342119/?format=pubmed",
"Implantable Defibrillator System Shock Function, Mortality, and Cause of Death After Magnetic Resonance Imaging., Ra et al., Annals of internal medicine, 2023/01/30","629","Non-MRI-conditional ICDs appropriately treated detected tachyarrhythmias after MRI with no serious adverse effects on device function.","Arrhythmia detection and treatment, generator or lead exchanges, adverse events, and death","10% of total patients had 130 spontaneous ventricular tachycardia or fibrillation events terminated by ICD shocks; 33% of total patients died (median, 1.7 years from MRI to death); 3 had cardiac arrhythmia deaths where shocks were indicated without direct evidence of device dysfunction","Unspecified","Patients with non-MRI-conditional ICDs vs. 813 MRI examinations","https://pubmed.ncbi.nlm.nih.gov/36716451/?format=pubmed",
"Endovascular Ultrasound Renal Denervation to Treat Hypertension: The RADIANCE II Randomized Clinical Trial. (RADIANCE) , Azizi et al., JAMA, 2023/02/28","1038","Ultrasound renal denervation reduced daytime ambulatory SBP at 2 months in the absence of antihypertensive medications vs a sham procedure without postprocedural major adverse events.","Mean change in daytime ambulatory SBP at 2 months","Reduction in daytime ambulatory SBP was greater with ultrasound renal denervation (mean, -7.9 mm Hg [SD, 11.6 mm Hg]) vs the sham procedure (mean, -1.8 mm Hg [SD, 9.5 mm Hg]) (baseline-adjusted between-group difference, -6.3 mm Hg [95% CI, -9.3 to -3.2 mm Hg], P < .001)","Unspecified","Ultrasound renal denervation vs. sham procedure","https://pubmed.ncbi.nlm.nih.gov/36853250/?format=pubmed",
"Challenging the Hemodynamic Hypothesis in Heart Failure With Preserved Ejection Fraction: Is Exercise Capacity Limited by Elevated Pulmonary Capillary Wedge Pressure?, Sarma et al., Circulation, 2022/12/16","30","Sublingual nitroglycerin lowered PCWP during submaximal and maximal exercise, but peak oxygen uptake was not changed. These results suggest that acute reductions in PCWP are insufficient to improve exercise capacity.","Peak Exercise Capacity","Nitroglycerin lowered PCWP compared to placebo at rest, 20W, and peak exercise (-7+-6 mm Hg; drug x exercise stage P=0.004). Nitroglycerin did not affect oxygen uptake at rest, 20W, or peak (placebo, 1.34+-0.48 versus nitroglycerin, 1.32+-0.46 L/min; drug x exercise P=0.984).","Single-blind","Placebo vs. Nitroglycerin","https://pubmed.ncbi.nlm.nih.gov/36524474/?format=pubmed",
"Early Extracorporeal CPR for Refractory Out-of-Hospital Cardiac Arrest., Suverein et al., NEJM, 2023/01/31","160","Extracorporeal CPR and conventional CPR had similar effects on survival with a favorable neurologic outcome.","Survival with a favorable neurologic outcome at 30 days","20% in the extracorporeal-CPR group were alive with a favorable neurologic outcome, as compared with 16% in the conventional-CPR group (odds ratio, 1.4; 95% confidence interval, 0.5 to 3.5; P = 0.52)","Unspecified","Extracorporeal CPR vs. Conventional CPR","https://pubmed.ncbi.nlm.nih.gov/36720132/?format=pubmed",
"Extracorporeal Membrane Oxygenation in the Therapy of Cardiogenic Shock: Results of the ECMO-CS Randomized Clinical Trial. (ECMO-CS) , Ostadal et al., Circulation, 2022/11/06","117","Immediate implementation of VA-ECMO in patients with rapidly deteriorating or severe cardiogenic shock did not improve clinical outcomes compared with an early conservative strategy that permitted downstream use of VA-ECMO in case of worsening hemodynamic status.","Composite of death from any cause, resuscitated circulatory arrest, and implementation of another mechanical circulatory support device at 30 days","37 (63.8%) and 42 (71.2%) patients in the immediate VA-ECMO and the no early VA-ECMO groups, respectively (hazard ratio, 0.72 [95% CI, 0.46-1.12]; P=0.21)","Unspecified","Immediate VA-ECMO vs. No immediate VA-ECMO","https://pubmed.ncbi.nlm.nih.gov/36335478/?format=pubmed",
"Early Restrictive or Liberal Fluid Management for Sepsis-Induced Hypotension. (National Heart, Lung, and Blood Institute Prevention and Early Treatment of Acute ) , Shapiro et al., NEJM, 2023/01/23","1563","The restrictive fluid strategy did not result in significantly lower (or higher) mortality before discharge home by day 90 than the liberal fluid strategy.","All-cause mortality before discharge home by day 90","Death from any cause before discharge home by day 90 occurred in 109 patients (14.0%) in the restrictive fluid group and in 116 patients (14.9%) in the liberal fluid group (estimated difference, -0.9 percentage points; 95% CI, -4.4 to 2.6; P = 0.61)","Unspecified","Restrictive Fluid Strategy vs. Liberal Fluid Strategy","https://pubmed.ncbi.nlm.nih.gov/36688507/?format=pubmed",
"Zanubrutinib or Ibrutinib in Relapsed or Refractory Chronic Lymphocytic Leukemia., Brown et al., NEJM, 2022/12/13","652","Patients who received zanubrutinib had longer progression-free survival than those who received ibrutinib, and zanubrutinib was associated with fewer cardiac adverse events.","Progression-free survival","Zanubrutinib was superior to ibrutinib with respect to progression-free survival (hazard ratio for disease progression or death, 0.65; 95% confidence interval, [CI], 0.49 to 0.86; P = 0.002)","Unspecified","Zanubrutinib vs. Ibrutinib","https://pubmed.ncbi.nlm.nih.gov/36511784/?format=pubmed",
"Effect of Torsemide vs Furosemide After Discharge on All-Cause Mortality in Patients Hospitalized With Heart Failure: The TRANSFORM-HF Randomized Clinical Trial. (TRANSFORM-HF) , Mentz et al., JAMA, 2023/01/17","2859","Torsemide did not result in a significant difference in all-cause mortality compared with furosemide among patients hospitalized for heart failure.","All-cause mortality","No significant difference in all-cause mortality over 12 months (hazard ratio, 1.02 [95% CI, 0.89-1.18])","Unspecified","Torsemide vs. Furosemide","https://pubmed.ncbi.nlm.nih.gov/36648467/?format=pubmed",
"Empagliflozin in Patients with Chronic Kidney Disease. (EMPA-KIDNEY) , Herrington et al., NEJM, 2022/11/04","6609","Empagliflozin therapy led to a lower risk of progression of kidney disease or death from cardiovascular causes than placebo.","Progression of kidney disease or death from cardiovascular causes","13.1% in the empagliflozin group and 16.9% in the placebo group (hazard ratio, 0.72; 95% CI, 0.64 to 0.82; P<0.001)","Unspecified","Empagliflozin vs Placebo","https://pubmed.ncbi.nlm.nih.gov/36331190/?format=pubmed",
"Effect of Remifentanil vs Neuromuscular Blockers During Rapid Sequence Intubation on Successful Intubation Without Major Complications Among Patients at Risk of Aspiration: A Randomized Clinical Trial. ((SFAR)) , Grillot et al., JAMA, 2023/01/03","Remifentanil vs. Neuromuscular Blockers","This multicenter, randomized, open-label, noninferiority trial with an unspecified blinding studied 1150 adults at risk of aspiration during rapid sequence intubation in the operating room. Patients were randomized to receive either remifentanil or neuromuscular blockers, and the primary outcome was successful tracheal intubation on the first attempt without major complications. The results showed that remifentanil was statistically inferior to neuromuscular blockers, but the wide confidence interval around the effect estimate remains compatible with noninferiority and limits conclusions about the clinical relevance of the difference.","In the as-randomized population, tracheal intubation on the first attempt without major complications occurred in 66.1% of the remifentanil group and 71.6% of the neuromuscular blocker group; in the per-protocol population, 66.2% of the remifentanil group and 71.3% of the neuromuscular blocker group had successful intubation without major complications.","Remifentanil was statistically inferior to neuromuscular blockers, but the wide confidence interval around the effect estimate remains compatible with noninferiority and limits conclusions about the clinical relevance of the difference.","Successful tracheal intubation on the first attempt without major complications","Unspecified","https://pubmed.ncbi.nlm.nih.gov/36594947/?format=pubmed",
"Progression of Atrial Fibrillation after Cryoablation or Drug Therapy. (EARLY-AF) , Andrade et al., NEJM, 2022/11/07","303","Initial treatment of paroxysmal atrial fibrillation with catheter cryoballoon ablation was associated with a lower incidence of persistent atrial fibrillation or recurrent atrial tachyarrhythmia over 3 years of follow-up than initial use of antiarrhythmic drugs.","Incidence of persistent atrial fibrillation or recurrent atrial tachyarrhythmia","3 patients (1.9%) in the ablation group had an episode of persistent atrial fibrillation, as compared with 11 patients (7.4%) in the antiarrhythmic drug group (hazard ratio, 0.25; 95% CI, 0.09 to 0.70)","Unspecified","Cryoballoon ablation vs. antiarrhythmic drug therapy","https://pubmed.ncbi.nlm.nih.gov/36342178/?format=pubmed",
"Trial of an Intervention to Improve Acute Heart Failure Outcomes. (COACH) , Lee et al., NEJM, 2022/11/07","5452","The use of a hospital-based strategy to support clinical decision making and rapid follow-up led to a lower risk of the composite of death from any cause or hospitalization for cardiovascular causes within 30 days than usual care.","Composite of death from any cause or hospitalization for cardiovascular causes within 30 days after presentation and the composite outcome within 20 months","12.1% of patients in the intervention phase experienced death from any cause or hospitalization for cardiovascular causes within 30 days after presentation, compared to 14.5% of patients in the control phase (adjusted hazard ratio, 0.88; 95% confidence interval [CI], 0.78 to 0.99; P = 0.04). Within 20 months, the cumulative incidence of primary-outcome events was 54.4% (95% CI, 48.6 to 59.9) among patients who were enrolled during the intervention phase and 56.2% (95% CI, 54.2 to 58.1) among patients who were enrolled during the control phase (adjusted hazard ratio, 0.95; 95% CI, 0.92 to 0.99).","Unspecified","Control Phase (usual care) vs. Intervention Phase (point-of-care algorithm to stratify patients with acute heart failure according to the risk of death)","https://pubmed.ncbi.nlm.nih.gov/36342109/?format=pubmed",
"Effects of Dapagliflozin on Hospitalizations in Patients With Chronic Kidney Disease : A Post Hoc Analysis of DAPA-CKD., Schechter et al., Annals of internal medicine, 2022/12/05","4304","Dapagliflozin reduced the risk for hospitalization for any cause in patients with CKD with and without type 2 diabetes.","Risk for first hospitalization and all hospitalizations or death","Dapagliflozin reduced risk for a first hospitalization (hazard ratio, 0.84 [95% CI, 0.75 to 0.94]) and all hospitalizations or death (rate ratio, 0.79 [CI, 0.70 to 0.89])","Double-blind","Dapagliflozin vs. Placebo","https://pubmed.ncbi.nlm.nih.gov/36469914/?format=pubmed",
"Comparative Effectiveness of Team-Based Care With and Without a Clinical Decision Support System for Diabetes Management : A Cluster Randomized Trial., Shi et al., Annals of internal medicine, 2022/12/05","11,132","Team-based care with a CDSS significantly reduced cardiovascular risk factors in patients with diabetes, but the effect was modest.","Mean reductions in hemoglobin A(1c) (HbA(1c)) level, low-density lipoprotein cholesterol (LDL-C) level, and systolic BP over 18 months and the proportion of participants with all 3 risk factors controlled at 18 months","HbA(1c) levels, LDL-C levels, and systolic BP decreased by -0.9 percentage point, -0.49 mmol/L (-19.0 mg/dL), and -9.1 mm Hg in team-based care with a CDSS and by -0.6 percentage point, -0.32 mmol/L (-12.5 mg/dL), and -7.5 mm Hg in team-based care alone. The proportion of patients with controlled HbA(1c), LDL-C, and systolic BP was 16.9% in team-based care with a CDSS and 13.0% in team-based care alone.","Unspecified","Team-based care with a CDSS (5475) vs. Team-based care alone (5657)","https://pubmed.ncbi.nlm.nih.gov/36469915/?format=pubmed",
