Study,Number of Randomized Patients,Conclusion,Primary Outcome,Results for the Primary Outcome,Blinding,Comparator,Link to Article
"Acute Effects of Coffee Consumption on Health among Ambulatory Adults., Marcus et al., NEJM, 2023/03/22",100,Consumption of caffeinated coffee did not result in significantly more daily premature atrial contractions than the avoidance of caffeine.,Mean Number of Daily Premature Atrial Contractions,"58 daily premature atrial contractions with caffeinated coffee vs. 53 daily events with avoidance of caffeine (rate ratio, 1.09; 95% CI, 0.98 to 1.20; P = 0.10)",Unspecified,Caffeinated Coffee vs. Avoidance of Caffeine,https://pubmed.ncbi.nlm.nih.gov/36947466/?format=pubmed,
"Effectiveness of the Family Heart Talk Communication Tool in Improving Family Member Screening for Dilated Cardiomyopathy: Results of a Randomized Trial. (DCM) , Kinnamon et al., Circulation, 2023/03/20","1241 probands, 2230 eligible first-degree relatives in the Family Heart Talk arm, 2416 in the control arm",A booklet that can be provided to patients with dilated cardiomyopathy by clinicians with minimal additional time investment was effective in increasing cardiovascular clinical screening among first-degree relatives of these patients.,Completion of screening initiated within 12 months after proband enrollment,"19.5% of eligible first-degree relatives completed screening in the Family Heart Talk arm vs. 16.0% in the control arm (odds ratio, 1.30 [1-sided 95% CI, 1.08-])",Unspecified,Family Heart Talk arm vs. control arm,https://pubmed.ncbi.nlm.nih.gov/36938756/?format=pubmed,
"Effect of Thromboprophylaxis on Clinical Outcomes After COVID-19 Hospitalization. (ACTIV-4C) , Wang et al., Annals of internal medicine, 2023/03/20",1217,"The incidence of death or thromboembolism was low in this cohort of patients discharged after hospitalization with COVID-19, but the results were imprecise and the study was inconclusive","30-day composite of death, arterial thromboembolism, and venous thromboembolism","Incidence of the primary end point was 2.13% (95% CI, 1.14 to 3.62) in the apixaban group and 2.31% (CI, 1.27 to 3.84) in the placebo group",Double-blind,Apixaban vs. Placebo,https://pubmed.ncbi.nlm.nih.gov/36940444/?format=pubmed,
"Fezolinetant for treatment of moderate-to-severe vasomotor symptoms associated with menopause (SKYLIGHT 1): a phase 3 randomised controlled study., Lederman et al., Lancet, 2023/03/16",2205,Fezolinetant is a non-hormonal treatment for vasomotor symptoms associated with menopause.,Mean change in frequency and severity of vasomotor symptoms from baseline to weeks 4 and 12,Fezolinetant 30 mg and 45 mg significantly reduced the frequency and severity of vasomotor symptoms at week 4 and week 12 compared to placebo,Unspecified,"Placebo, Fezolinetant 30 mg, Fezolinetant 45 mg",https://pubmed.ncbi.nlm.nih.gov/36924778/?format=pubmed,
"Trial of Hybrid Closed-Loop Control in Young Children with Type 1 Diabetes. (PEDAP) , Wadwa et al., NEJM, 2023/03/15",102,The glucose level was in the target range for a greater percentage of time with a closed-loop system than with standard care.,Percentage of time that the glucose level was in the target range of 70 to 180 mg per deciliter,"Mean percentage of time that the glucose level was within the target range increased from 56.7+-18.0% at baseline to 69.3+-11.1% in the closed-loop group and from 54.9+-14.7% to 55.9+-12.6% in the standard-care group (mean adjusted difference, 12.4 percentage points [equivalent to approximately 3 hours per day]; 95% confidence interval, 9.5 to 15.3; P<0.001).",Unspecified,Closed-loop system of insulin delivery vs. standard care,https://pubmed.ncbi.nlm.nih.gov/36920756/?format=pubmed,
"Inflammation and cholesterol as predictors of cardiovascular events among patients receiving statin therapy: a collaborative analysis of three randomised trials. (PROMINENT,) , Ridker et al., Lancet, 2023/03/09","31,245",Inflammation is a stronger predictor for risk of future cardiovascular events and death than cholesterol.,"Major Adverse Cardiovascular Events, Cardiovascular Death, and All-Cause Death","Adjusted HR 1*07, 95% CI 0*98-1*17; p=0*11",Unspecified,"PROMINENT, REDUCE-IT, and STRENGTH trials",https://pubmed.ncbi.nlm.nih.gov/36893777/?format=pubmed,
"Inflammation and cholesterol as predictors of cardiovascular events among patients receiving statin therapy: a collaborative analysis of three randomised trials. (PROMINENT,) , Ridker et al., Lancet, 2023/03/09","31,245",Inflammation was a stronger predictor for risk of future cardiovascular events and death than cholesterol.,"Major Adverse Cardiovascular Events, Cardiovascular Mortality, and All-Cause Mortality","Residual inflammatory risk was significantly associated with incident major adverse cardiovascular events (highest high-sensitivity CRP quartile vs lowest high-sensitivity CRP quartile, adjusted HR 1*31, 95% CI 1*20-1*43; p<0*0001), cardiovascular mortality (2*68, 2*22-3*23; p<0*0001), and all-cause mortality (2*42, 2*12-2*77; p<0*0001). By contrast, the relationship of residual cholesterol risk was neutral for major adverse cardiovascular events (highest LDLC quartile vs lowest LDLC quartile, adjusted HR 1*07, 95% CI 0*98-1*17; p=0*11), and of low magnitude for cardiovascular death (1*27, 1*07-1*50; p=0*0086) and all-cause death (1*16, 1*03-1*32; p=0*025).",Unspecified,"PROMINENT (n=9988), REDUCE-IT (n=8179), and STRENGTH (n=13 078) trials",https://pubmed.ncbi.nlm.nih.gov/36893777/?format=pubmed,
"Electronic nudges to increase influenza vaccination uptake in Denmark: a nationwide, pragmatic, registry-based, randomised implementation trial., Johansen et al., Lancet, 2023/03/08","964,870",Electronically delivered letters highlighting potential cardiovascular benefits of influenza vaccination or sent again as a reminder significantly increased vaccination uptake across Denmark.,"Receipt of influenza vaccination on or before Jan 1, 2023","Compared with usual care, influenza vaccination rates were higher in the group receiving an electronic letter highlighting potential cardiovascular benefits of vaccination (81*00% vs 80*12%; difference 0*89 percentage points [99*55% CI 0*29-1*48]; p<0*0001) and the group receiving repeated letters at randomisation and at day 14 (80*85% vs 80*12%; difference 0*73 percentage points [0*13-1*34]; p=0*0006).",Unspecified,Usual Care vs 9 different electronic letters,https://pubmed.ncbi.nlm.nih.gov/36889332/?format=pubmed,
"Electronic nudges to increase influenza vaccination uptake in Denmark: a nationwide, pragmatic, registry-based, randomised implementation trial., Johansen et al., Lancet, 2023/03/08","964,870",Electronically delivered letters highlighting potential cardiovascular benefits of influenza vaccination or sent again as a reminder significantly increased vaccination uptake across Denmark.,"Receipt of influenza vaccination on or before Jan 1, 2023","Compared with usual care, influenza vaccination rates were higher in the group receiving an electronic letter highlighting potential cardiovascular benefits of vaccination (81*00% vs 80*12%; difference 0*89 percentage points [99*55% CI 0*29-1*48]; p<0*0001) and the group receiving repeated letters at randomisation and at day 14 (80*85% vs 80*12%; difference 0*73 percentage points [0*13-1*34]; p=0*0006).",Unspecified,Usual Care vs 9 different electronic letters,https://pubmed.ncbi.nlm.nih.gov/36889332/?format=pubmed,
"Immediate versus staged complete revascularisation in patients presenting with acute coronary syndrome and multivessel coronary disease (BIOVASC): a prospective, open-label, non-inferiority, randomised trial. (BIOVASC) , Diletti et al., Lancet, 2023/03/08",1525,"Immediate complete revascularisation is a viable option for patients with acute coronary syndrome and multivessel disease, as it is non-inferior to staged complete revascularisation and is associated with a reduction in myocardial infarction and unplanned ischaemia-driven revascularisation.","Composite of all-cause mortality, myocardial infarction, any unplanned ischaemia-driven revascularisation, or cerebrovascular events at 1 year after the index procedure",Immediate complete revascularisation was non-inferior to staged complete revascularisation for the primary composite outcome and was associated with a reduction in myocardial infarction and unplanned ischaemia-driven revascularisation,Unspecified,Immediate complete revascularisation vs. staged complete revascularisation,https://pubmed.ncbi.nlm.nih.gov/36889333/?format=pubmed,
"In adults with acute HF, high-intensity care vs. usual care reduced a composite of death or HF readmission at 180 d., Levine et al., Annals of internal medicine, 2023/03/06","Open-label, randomised",,"Results showed that up-titration of guideline-directed medical therapies for acute heart failure was safe, tolerable, and efficacious.","Up-titration of guideline-directed medical therapies for acute heart failure is safe, tolerable, and efficacious.","Safety, tolerability and efficacy of up-titration of guideline-directed medical therapies for acute heart failure",Unspecified,https://pubmed.ncbi.nlm.nih.gov/36877970/?format=pubmed,
"Coordinated Care to Optimize Cardiovascular Preventive Therapies in Type 2 Diabetes: A Randomized Clinical Trial. (COORDINATE-Diabetes Site Investigators) , Pagidipati et al., JAMA, 2023/03/06",1049,"A coordinated, multifaceted intervention increased prescription of 3 groups of evidence-based therapies in adults with type 2 diabetes and atherosclerotic cardiovascular study.",Proportion of participants prescribed all 3 groups of recommended therapies at 6 to 12 months after enrollment,"Intervention Group (37.9%) vs. Usual Care Group (14.5%), difference of 23.4% (adjusted odds ratio [OR], 4.38 [95% CI, 2.49 to 7.71]; P < .001)",Unspecified,Intervention Group (n=459) vs. Usual Care Group (n=590),https://pubmed.ncbi.nlm.nih.gov/36877177/?format=pubmed,
"Intravascular Imaging-Guided or Angiography-Guided Complex PCI. (RENOVATE-COMPLEX-PCI) , Lee et al., NEJM, 2023/03/06",,Error,Error,Error,Error,"1 ratio to intravascular imaging-guided PCI or angiography-guided PCI. The primary end point was a composite of death from cardiac causes, target-vessel-related myocardial infarction, or clinically driven target-vessel revascularization. At a median follow-up of 2.1 years, intravascular imaging-guided PCI led to a lower risk of a composite of death from cardiac causes, target-vessel-related myocardial infarction, or clinically driven target-vessel revascularization than angiography-guided PCI (hazard ratio, 0.64; 95% confidence interval, 0.45 to 0.89; P = 0.008).",https://pubmed.ncbi.nlm.nih.gov/36876735/?format=pubmed,
"Phase 3 Trial of Sotatercept for Treatment of Pulmonary Arterial Hypertension. (STELLAR) , Hoeper et al., NEJM, 2023/03/06",163 (sotatercept) and 160 (placebo),Sotatercept resulted in a greater improvement in exercise capacity than placebo,Change from baseline at week 24 in the 6-minute walk distance,"Median change from baseline at week 24 in the 6-minute walk distance was 34.4 m (95% CI, 33.0 to 35.5) in the sotatercept group and 1.0 m (95% CI, -0.3 to 3.5) in the placebo group",Double-blind,Sotatercept vs. Placebo,https://pubmed.ncbi.nlm.nih.gov/36877098/?format=pubmed,
"Coordinated Care to Optimize Cardiovascular Preventive Therapies in Type 2 Diabetes: A Randomized Clinical Trial. (COORDINATE-Diabetes Site Investigators) , Pagidipati et al., JAMA, 2023/03/06",1049,"A coordinated, multifaceted intervention increased prescription of 3 groups of evidence-based therapies in adults with type 2 diabetes and atherosclerotic cardiovascular study.",Proportion of participants prescribed all 3 groups of recommended therapies at 6 to 12 months after enrollment,"Intervention Group (173/457 [37.9%]) vs. Usual Care Group (85/588 [14.5%]), Difference of 23.4% (adjusted odds ratio [OR], 4.38 [95% CI, 2.49 to 7.71]; P < .001)",Unspecified,Intervention Group (n=459) vs. Usual Care Group (n=590),https://pubmed.ncbi.nlm.nih.gov/36877177/?format=pubmed,
"Transcatheter Repair for Patients with Tricuspid Regurgitation. (TRILUMINATE) , Sorajja et al., NEJM, 2023/03/06",350,"Tricuspid TEER was safe, reduced the severity of tricuspid regurgitation, and was associated with an improvement in quality of life.",Hierarchical composite of death from any cause or tricuspid-valve surgery; hospitalization for heart failure; and an improvement in quality of life as measured with the Kansas City Cardiomyopathy Questionnaire (KCCQ),TEER group had a win ratio of 1.48 (95% CI 1.06 to 2.13; P=0.02) with a mean increase in KCCQ score of 12.3+-1.8 points compared to 0.6+-1.8 points in the control group (P<0.001),Unspecified,TEER vs. medical therapy (control),https://pubmed.ncbi.nlm.nih.gov/36876753/?format=pubmed,
"In adults with acute HF, high-intensity care vs. usual care reduced a composite of death or HF readmission at 180 d., Levine et al., Annals of internal medicine, 2023/03/06","Open-label, randomised",,"Improved safety, tolerability and efficacy of up-titration of guideline-directed medical therapies for acute heart failure compared to the control group (p<0.0001).","Up-titration of guideline-directed medical therapies for acute heart failure is safe, tolerable and effective.","Safety, tolerability and efficacy of up-titration of guideline-directed medical therapies for acute heart failure",Unspecified,https://pubmed.ncbi.nlm.nih.gov/36877970/?format=pubmed,
"Phase 3 Trial of Sotatercept for Treatment of Pulmonary Arterial Hypertension. (STELLAR) , Hoeper et al., NEJM, 2023/03/06",163 (Sotatercept) and 160 (Placebo),Sotatercept resulted in a greater improvement in exercise capacity (as assessed by the 6-minute walk test) than placebo.,Change from baseline at week 24 in the 6-minute walk distance,"Median change from baseline at week 24 in the 6-minute walk distance was 34.4 m (95% CI, 33.0 to 35.5) in the sotatercept group and 1.0 m (95% CI, -0.3 to 3.5) in the placebo group; Hodges-Lehmann estimate of the difference between the sotatercept and placebo groups in the change from baseline at week 24 in the 6-minute walk distance was 40.8 m (95% CI, 27.5 to 54.1; P<0.001)",Double-blind,Sotatercept vs. Placebo,https://pubmed.ncbi.nlm.nih.gov/36877098/?format=pubmed,
"Eliminating Medication Copayments for Low-Income Older Adults at High Cardiovascular Risk: A Randomized Controlled Trial. (Interdisciplinary Chronic Disease Collaboration) , Campbell et al., Circulation, 2023/03/05",4761,"Eliminating copayments did not improve clinical outcomes or reduce health care costs, despite a modest improvement in adherence to medications.","Composite of death, myocardial infarction, stroke, coronary revascularization, and cardiovascular-related hospitalizations over a 3-year follow-up","No reduction in rate (521 versus 533 events, incidence rate ratio 0.84 [95% CI, 0.66-1.07], P=0.162)",Unspecified,Copayment elimination versus usual copayment,https://pubmed.ncbi.nlm.nih.gov/36871215/?format=pubmed,
"Effectiveness of a non-physician community health-care provider-led intensive blood pressure intervention versus usual care on cardiovascular disease (CRHCP): an open-label, blinded-endpoint, cluster-randomised trial. (CRHCP) , He et al., Lancet, 2023/03/05","33,995",The non-physician community health-care provider-led intensive blood pressure intervention is effective in reducing cardiovascular disease and death.,"Composite outcome of myocardial infarction, stroke, heart failure requiring hospitalisation, and cardiovascular disease death during the 36-month follow-up","Fewer patients in the intervention group than the usual care group had a primary outcome (1*62% vs 2*40% per year; hazard ratio [HR] 0*67, 95% CI 0*61-0*73; p<0*0001)",Unspecified,Non-physician community health-care provider-led intervention vs. usual care,https://pubmed.ncbi.nlm.nih.gov/36871573/?format=pubmed,
"Comparison of 3- to 6-Month Versus 12-Month Dual Antiplatelet Therapy After Coronary Intervention Using the Contemporary Drug-Eluting Stents With Ultrathin Struts: The HOST-IDEA Randomized Clinical Trial., Han et al., Circulation, 2023/03/05",2013,3- to 6-month DAPT was noninferior to 12-month DAPT for net adverse clinical event.,Net Adverse Clinical Event,"3.7% in 3- to 6-month DAPT group and 4.1% in 12-month DAPT group; noninferiority of 3- to 6-month DAPT group to 12-month DAPT group met (absolute risk difference, -0.4% [1-sided 95% CI, -% to 1.1%]; P<0.001 for noninferiority)",Unspecified,3- to 6-month DAPT vs 12-month DAPT,https://pubmed.ncbi.nlm.nih.gov/36871230/?format=pubmed,
"Effectiveness of a non-physician community health-care provider-led intensive blood pressure intervention versus usual care on cardiovascular disease (CRHCP): an open-label, blinded-endpoint, cluster-randomised trial. (CRHCP) , He et al., Lancet, 2023/03/05","33,995",The non-physician community health-care provider-led intensive blood pressure intervention is effective in reducing cardiovascular disease and death.,"Composite outcome of myocardial infarction, stroke, heart failure requiring hospitalisation, and cardiovascular disease death","Fewer patients in the intervention group than the usual care group had a primary outcome (1.62% vs 2.40% per year; hazard ratio [HR] 0.67, 95% CI 0.61-0.73; p<0.0001)",Unspecified,Non-physician community health-care provider-led intervention vs. usual care,https://pubmed.ncbi.nlm.nih.gov/36871573/?format=pubmed,
"Effect of Electronic Nudges on Influenza Vaccination Rate in Older Adults With Cardiovascular Disease: Prespecified Analysis of the NUDGE-FLU Trial., Modin et al., Circulation, 2023/03/05","964,870",Electronic letter interventions emphasizing the potential cardiovascular benefits of influenza vaccination and using a reminder letter strategy were similarly beneficial in increasing influenza vaccination rates among older adults with and without CVD and across cardiovascular subgroups.,"Receipt of an influenza vaccine on or before January 1, 2023",83.1% of participants with CVD versus 79.2% of participants without CVD received an influenza vaccination (P<0.001),Unspecified,Usual care vs. 9 electronic letters,https://pubmed.ncbi.nlm.nih.gov/36871213/?format=pubmed,
"On-Site Computed Tomography-Derived Fractional Flow Reserve to Guide Management of Patients With Stable Coronary Artery Disease: The TARGET Randomized Trial., Yang et al., Circulation, 2023/03/04",1216,"On-site CT-FFR using machine learning reduced the proportion of patients with stable coronary artery disease undergoing invasive coronary angiography without obstructive disease or requiring intervention within 90 days, but increased revascularization overall without improving symptoms or quality of life, or reducing major adverse cardiovascular events.",Proportion of patients undergoing invasive coronary angiography without obstructive coronary artery disease or with obstructive disease who did not undergo intervention within 90 days,28.3% (119/421) in the CT-FFR care group vs. 46.2% (223/483) in the standard care group (P<0.001),Unspecified,on-site CT-FFR care pathway using machine learning vs. standard care,https://pubmed.ncbi.nlm.nih.gov/36870065/?format=pubmed,
"Endovascular Ultrasound Renal Denervation to Treat Hypertension: The RADIANCE II Randomized Clinical Trial. (RADIANCE) , Azizi et al., JAMA, 2023/02/28",,Error,Error,Error,Error,"1 to undergo ultrasound renal denervation or a sham procedure. The primary outcome was the mean change in daytime ambulatory SBP at 2 months, which was significantly improved with ultrasound renal denervation (-7.9 mm Hg [SD, 11.6 mm Hg]) vs the sham procedure (-1.8 mm Hg [SD, 9.5 mm Hg]) with no major adverse events reported in either group.",https://pubmed.ncbi.nlm.nih.gov/36853250/?format=pubmed,
"Endovascular Ultrasound Renal Denervation to Treat Hypertension: The RADIANCE II Randomized Clinical Trial. (RADIANCE) , Azizi et al., JAMA, 2023/02/28",1038,Ultrasound renal denervation reduced daytime ambulatory SBP at 2 months in the absence of antihypertensive medications vs a sham procedure without postprocedural major adverse events.,Mean change in daytime ambulatory SBP at 2 months,"Reduction in daytime ambulatory SBP was greater with ultrasound renal denervation (mean, -7.9 mm Hg [SD, 11.6 mm Hg]) vs the sham procedure (mean, -1.8 mm Hg [SD, 9.5 mm Hg]) (baseline-adjusted between-group difference, -6.3 mm Hg [95% CI, -9.3 to -3.2 mm Hg], P < .001)",Unspecified,Ultrasound renal denervation vs a sham procedure,https://pubmed.ncbi.nlm.nih.gov/36853250/?format=pubmed,
"Exploring the Relationship Between Efpeglenatide Dose and Cardiovascular Outcomes in Type 2 Diabetes: Insights From the AMPLITUDE-O Trial., Gerstein et al., Circulation, 2023/02/21","3,722",Adding either 4 mg or 6 mg weekly of the glucagon-like peptide-1 receptor agonist efpeglenatide to usual care reduced major adverse cardiovascular events (MACE) in people with type 2 diabetes at high cardiovascular risk. Titrating efpeglenatide and potentially other glucagon-like peptide-1 receptor agonists to high doses may maximize their cardiovascular and renal benefits.,Major Adverse Cardiovascular Events (MACE),"9.2% of participants assigned to placebo, 6.2% of participants assigned to 6 mg of efpeglenatide (hazard ratio [HR], 0.65 [95% CI, 0.5-0.86]; P=0.0027), and 7.7% assigned to 4 mg of efpeglenatide (HR, 0.82 [95% CI, 0.63-1.06]; P=0.14).",Unspecified,"Placebo, 4 mg, 6 mg of efpeglenatide",https://pubmed.ncbi.nlm.nih.gov/36802715/?format=pubmed,
"Exploring the Relationship Between Efpeglenatide Dose and Cardiovascular Outcomes in Type 2 Diabetes: Insights From the AMPLITUDE-O Trial., Gerstein et al., Circulation, 2023/02/21","3,876","Adding either 4 mg or 6 mg weekly of the glucagon-like peptide-1 receptor agonist efpeglenatide to usual care reduces major adverse cardiovascular events (MACE) in people with type 2 diabetes at high cardiovascular risk, with the greatest benefit seen with the 6 mg dose.",Major adverse cardiovascular events (MACE),"9.2% of participants assigned to placebo experienced MACE, 6.2% of participants assigned to 6 mg of efpeglenatide experienced MACE (hazard ratio [HR], 0.65 [95% CI, 0.5-0.86]; P=0.0027), and 7.7% of participants assigned to 4 mg of efpeglenatide experienced MACE (HR, 0.82 [95% CI, 0.63-1.06]; P=0.14).",Unspecified,"Placebo, 4 mg, 6 mg",https://pubmed.ncbi.nlm.nih.gov/36802715/?format=pubmed,
"Association Between Achieved Low-Density Lipoprotein Cholesterol Levels and Long-Term Cardiovascular and Safety Outcomes: An Analysis of FOURIER-OLE., Gaba et al., Circulation, 2023/02/13","27,564","Lower LDL-C levels, down to <20 mg/dL, associated with lower risk of cardiovascular outcomes with no significant safety concerns","Composite of cardiovascular death, myocardial infarction, stroke, hospital admission for unstable angina or coronary revascularization",Lower achieved LDL-C levels-down to very low levels <20 mg/dL-associated with a lower risk of the primary efficacy end point (adjusted P(trend)<0.0001),Unspecified,evolocumab vs. placebo,https://pubmed.ncbi.nlm.nih.gov/36779348/?format=pubmed,
"Association Between Achieved Low-Density Lipoprotein Cholesterol Levels and Long-Term Cardiovascular and Safety Outcomes: An Analysis of FOURIER-OLE., Gaba et al., Circulation, 2023/02/13",,Error,Error,Error,Error,"2) This was a randomized, open-label study of 27,564 patients with stable atherosclerotic cardiovascular disease, comparing evolocumab to placebo. Unspecified blinding was used. Results showed that lower achieved LDL-C levels-down to very low levels <20 mg/dL-were associated with a lower risk of the primary efficacy end point (adjusted P(trend)<0.0001 for each end points) and the key secondary efficacy end point (adjusted P(trend)<0.0001 for each end points) with no significant safety concerns.",https://pubmed.ncbi.nlm.nih.gov/36779348/?format=pubmed,
"Lobar or Sublobar Resection for Peripheral Stage IA Non-Small-Cell Lung Cancer., Altorki et al., NEJM, 2023/02/13",697,Sublobar resection is an effective alternative to lobectomy for patients with peripheral NSCLC with a tumor size of 2 cm or less and pathologically confirmed node-negative disease in the hilar and mediastinal lymph nodes.,Disease-free survival,"Sublobar resection was noninferior to lobar resection for disease-free survival (hazard ratio for disease recurrence or death, 1.01; 90% confidence interval [CI], 0.83 to 1.24). 5-year disease-free survival was 63.6% (95% CI, 57.9 to 68.8) after sublobar resection and 64.1% (95% CI, 58.5 to 69.0) after lobar resection.",Unspecified,sublobar resection vs. lobar resection,https://pubmed.ncbi.nlm.nih.gov/36780674/?format=pubmed,
