"Study Title","Study Abbreviation","Authors","Published in","Date Published","Number of Randomized Patients","Conclusion","Primary Outcome","Results for the Primary Outcome","Blinding","Comparator","Link to Article"
"
              
                KTE-X19 for relapsed or refractory adult B-cell acute lymphoblastic leukaemia: phase 2 results of the single-arm, open-label, multicentre ZUMA-3 study.
              
            ","NA","Shah, Bijal D et al.","Lancet","2021/06/07","71","KTE-X19 showed a high rate of complete remission or complete remission with incomplete haematological recovery in adult patients with relapsed or refractory B-precursor acute lymphoblastic leukaemia, with the median overall survival not reached in responding patients, and a manageable safety profile.","Rate of overall complete remission or complete remission with incomplete haematological recovery by central assessment","39 patients (71%; 95% CI 57-82, p<0*0001) had complete remission or complete remission with incomplete haematological recovery, with 31 (56%) patients reaching complete remission","Open-label","None","https://pubmed.ncbi.nlm.nih.gov/34097852/?format=pubmed",
"
              
                Duration of Adjuvant Aromatase-Inhibitor Therapy in Postmenopausal Breast Cancer.
              
            ","Austrian Breast and Colorectal Cancer Study Group","Gnant, Michael et al.","NEJM","2021/07/28","3484","Extending hormone therapy by 5 years provided no benefit over a 2-year extension but was associated with a greater risk of bone fracture.","Disease-free survival","Disease progression or death occurred in 335 women in each treatment group in the primary-analysis set at 8 years (hazard ratio, 0.99; 95% confidence interval [CI], 0.85 to 1.15; P = 0.90).","Not stated","2-year group and 5-year group","https://pubmed.ncbi.nlm.nih.gov/34320285/?format=pubmed",
"
              
                Pembrolizumab plus chemotherapy versus chemotherapy alone for first-line treatment of advanced oesophageal cancer (KEYNOTE-590): a randomised, placebo-controlled, phase 3 study.
              
            ","KEYNOTE-590","Sun, Jong-Mu et al.","Lancet","2021/08/29","749","Error","Overall survival and progression-free survival","Pembrolizumab plus chemotherapy was superior to placebo plus chemotherapy for overall survival in patients with oesophageal squamous cell carcinoma and PD-L1 CPS of 10 or more (median 13*9 months vs 8*8 months; hazard ratio 0*57 [95% CI 0*43-0*75]; p<0*0001), oesophageal squamous cell carcinoma (12*6 months vs 9*8 months; 0*72 [0*60-0*88]; p=0*0006), PD-L1 CPS of 10 or more (13*5 months vs 9*4 months; 0*62 [0*49-0*78]; p<0*0001), and in all randomised patients (12*4 months vs 9*8 months; 0*73 [0*62-0*86]; p<0*0001). Pembrolizumab plus chemotherapy was superior to placebo plus","Double-blind","Pembrolizumab plus chemotherapy vs placebo plus chemotherapy","https://pubmed.ncbi.nlm.nih.gov/34454674/?format=pubmed",
"
              
                Adjuvant Pembrolizumab after Nephrectomy in Renal-Cell Carcinoma.
              
            ","KEYNOTE-564","Choueiri, Toni K et al.","NEJM","2021/08/18","994 patients","Treatment with pembrolizumab led to a significant improvement in disease-free survival compared to placebo in patients with kidney cancer who were at high risk for recurrence after surgery.","Disease-free survival according to the investigator's assessment","Pembrolizumab therapy was associated with significantly longer disease-free survival than placebo (disease-free survival at 24 months, 77.3% vs. 68.1%; hazard ratio for recurrence or death, 0.68; 95% confidence interval [CI], 0.53 to 0.87; P = 0.002 [two-sided]).","Double-blind","Patients with clear-cell renal-cell carcinoma who were at high risk for recurrence after nephrectomy, with or without metastasectomy, randomly assigned to receive either adjuvant pembrolizumab or placebo intravenously once every 3 weeks","https://pubmed.ncbi.nlm.nih.gov/34407342/?format=pubmed",
"
              
                Adjuvant atezolizumab after adjuvant chemotherapy in resected stage IB-IIIA non-small-cell lung cancer (IMpower010): a randomised, multicentre, open-label, phase 3 trial.
              
            ","IMpower010 Investigators","Felip, Enriqueta et al.","Lancet","2021/09/23","1280","Atezolizumab after adjuvant chemotherapy offers a promising treatment option for patients with resected early-stage NSCLC, with improved disease-free survival compared to best supportive care.","Investigator-assessed disease-free survival","In the stage II-IIIA population whose tumours expressed PD-L1 on 1% or more of tumour cells, atezolizumab treatment improved disease-free survival compared with best supportive care (HR 0*66; 95% CI 0*50-0*88; p=0*0039). In the ITT population, HR for disease-free survival was 0*81 (0*67-0*99; p=0*040).","Open-label","Atezolizumab vs. Best Supportive Care","https://pubmed.ncbi.nlm.nih.gov/34555333/?format=pubmed",
"
              
                Sotorasib for Lung Cancers with KRAS p.G12C Mutation.
              
            ","NA","Skoulidis, Ferdinandos et al.","NEJM","2021/06/07","126","Sotorasib therapy led to a durable clinical benefit without new safety signals in patients with previously treated KRAS p.G12C-mutated NSCLC.","Objective response (complete or partial response) according to independent central review","An objective response was observed in 46 patients (37.1%; 95% CI, 28.6 to 46.2), including in 4 (3.2%) who had a complete response and in 42 (33.9%) who had a partial response.","Not stated","None","https://pubmed.ncbi.nlm.nih.gov/34096690/?format=pubmed",
"
              
                18F-fluciclovine-PET/CT imaging versus conventional imaging alone to guide postprostatectomy salvage radiotherapy for prostate cancer (EMPIRE-1): a single centre, open-label, phase 2/3 randomised controlled trial.
              
            ","NA","Jani, Ashesh B et al.","Lancet","2021/05/10","165","The use of (18)F-fluciclovine-PET/CT in postprostatectomy radiotherapy decision making and planning significantly improved survival free","3 year event-free survival","Median survival was not reached (95% CI 35*2-not reached; 33% of 81 patients had events) in the conventional imaging group compared with not reached (95% CI not reached-not reached; 20% of 76 patients) in the (18)F-fluciclovine-PET/CT group, and 3 year event-free survival was 63*0% (95% CI 49*2-74*0) in the conventional imaging group versus 75*5% (95% CI 62*5-84*6) for (18)F-fluciclovine-PET/CT (difference 12*5; 95% CI 4*3-20*8; p=0*0028).","Open-label","Conventional imaging group vs. (18)F-fluciclovine-PET/CT group","https://pubmed.ncbi.nlm.nih.gov/33971152/?format=pubmed",
"
              
                Adjuvant Olaparib for Patients with BRCA1- or BRCA2-Mutated Breast Cancer.
              
            ","OlympiA Clinical Trial Steering Committee and Investigators","Tutt, Andrew N J et al.","NEJM","2021/06/03","1836","Olaparib was associated with significantly longer survival free of invasive or distant disease than was placebo.","Invasive disease-free survival","3-year invasive disease-free survival was 85.9% in the olaparib group and 77.1% in the placebo group (difference, 8.8 percentage points; 95% confidence interval [CI], 4.5 to 13.0; hazard ratio for invasive disease or death, 0.58; 99.5% CI, 0.41 to 0.82; P<0.001).","Double-blind","Olaparib vs Placebo","https://pubmed.ncbi.nlm.nih.gov/34081848/?format=pubmed",
"
              
                First-line nivolumab plus chemotherapy versus chemotherapy alone for advanced gastric, gastro-oesophageal junction, and oesophageal adenocarcinoma (CheckMate 649): a randomised, open-label, phase 3 trial.
              
            ","NA","Janjigian, Yelena Y et al.","Lancet","2021/06/08","1581 patients","Nivolumab plus chemotherapy is a new standard first-line treatment for advanced gastric, gastro-oesophageal junction, or oesophageal adenocarcinoma, as it has superior overall survival and progression-free survival, along with an acceptable safety profile.","Overall survival (OS) or progression-free survival (PFS)","Nivolumab plus chemotherapy resulted in significant improvements in OS (hazard ratio [HR] 0*71 [98*4% CI 0*59-0*86]; p<0*0001) and PFS (HR 0*68 [98 % CI 0*56-0*81]; p<0*0001) versus chemotherapy alone in patients with a PD-L1 CPS of five or more.","Blinded independent central review","Nivolumab plus chemotherapy versus chemotherapy alone","https://pubmed.ncbi.nlm.nih.gov/34102137/?format=pubmed",
"
              
                Ciltacabtagene autoleucel, a B-cell maturation antigen-directed chimeric antigen receptor T-cell therapy in patients with relapsed or refractory multiple myeloma (CARTITUDE-1): a phase 1b/2 open-label study.
              
            ","NA","Berdeja, Jesus G et al.","Lancet","2021/06/27","113 patients","A single cilta-cel infusion at the target dose of 0*75 x 10(6) CAR-positive viable T cells per kg led to early, deep, and durable responses in heavily pretreated patients with multiple myeloma with a manageable safety profile.","Safety and confirmation of the recommended phase 2 dose (phase 1b), and overall response rate (phase 2) in all patients who received treatment","Overall response rate was 97% (95% CI 91*2-99*4; 94 of 97 patients); 65 (67%) achieved stringent complete response; time to first response was 1 month (IQR 0*9-1*0).","Open-label","Not applicable","https://pubmed.ncbi.nlm.nih.gov/34175021/?format=pubmed",
"
              
                Ipatasertib plus abiraterone and prednisolone in metastatic castration-resistant prostate cancer (IPATential150): a multicentre, randomised, double-blind, phase 3 trial.
              
            ","NA","Sweeney, Christopher et al.","Lancet","2021/07/11","1101","Error","Investigator-assessed radiographical progression-free survival","In the PTEN-loss-by-immunohistochemistry population, median radiographical progression-free survival was 16*5 months (95% CI 13*9-17*0) in the placebo-abiraterone group and 18*5 months (16*3-22*1) in the ipatasertib-abiraterone group (hazard ratio [HR] 0*77 [95% CI 0*61-0*98]; p=0*034; significant at a=0*04). In the intention-to-treat population, median progression-free survival was 16*6 months (95% CI 15*6-19*1) in the placebo-abiraterone group and 19*2 months (16*5-22*3) in the ipatasertib-abiraterone group (HR 0*84 [95% CI 0*71-0","Double-blind","Ipatasertib plus abiraterone vs. placebo plus abiraterone","https://pubmed.ncbi.nlm.nih.gov/34246347/?format=pubmed",
"
              
                Metronomic capecitabine as adjuvant therapy in locoregionally advanced nasopharyngeal carcinoma: a multicentre, open-label, parallel-group, randomised, controlled, phase 3 trial.
              
            ","NA","Chen, Yu-Pei et al.","Lancet","2021/06/10","406","The addition of metronomic adjuvant capecitabine to chemoradiotherapy significantly improved failure-free survival in patients with high-risk locoregionally advanced nasopharyngeal carcinoma, with a manageable safety profile.","Failure-free survival","Failure-free survival at 3 years was significantly higher in the metronomic capecitabine group (85*3% [95% CI 80*4-90*6]) than in the standard therapy group (75*7% [69*9-81*9]), with a stratified hazard ratio of 0*50 (95% CI 0*32-0*79; p=0*0023).","Open-label","Metronomic capecitabine group (n=204) and Standard therapy group (n=202)","https://pubmed.ncbi.nlm.nih.gov/34111416/?format=pubmed",
"
              
                Vemurafenib plus Rituximab in Refractory or Relapsed Hairy-Cell Leukemia.
              
            ","NA","Tiacci, Enrico et al.","NEJM","2021/05/12","30","A short, chemotherapy-free, nonmyelotoxic regimen of vemurafenib plus rituximab was associated with a durable complete response in most patients with refractory or relapsed HCL.","Complete response at the end of planned treatment","Complete response was observed in 26 patients (87%) in the intention-to-treat population.","Not mentioned","Patients with refractory or relapsed HCL","https://pubmed.ncbi.nlm.nih.gov/33979489/?format=pubmed",
"
              
                Effect of Marine Omega-3 Fatty Acid and Vitamin D Supplementation on Incident Atrial Fibrillation: A Randomized Clinical Trial.
              
            ","NA","Albert, Christine M et al.","JAMA","2021/03/16","25,119","Treatment with EPA-DHA or vitamin D3, compared with placebo, resulted in no significant difference in the risk of incident AF over a median follow-up of more than 5 years. The findings do not support the use of either agent for the primary prevention of incident AF.","Incident AF confirmed by medical record review","Incident AF events occurred in 469 (3.7%) vs 431 (3.4%) participants, respectively (hazard ratio, 1.09; 95% CI, 0.96-1.25; P = .19).","Yes","EPA-DHA and vitamin D3 vs. placebo","https://pubmed.ncbi.nlm.nih.gov/33724323/?format=pubmed",
"
              
                Effect of Celecoxib vs Placebo Added to Standard Adjuvant Therapy on Disease-Free Survival Among Patients With Stage III Colon Cancer: The CALGB/SWOG 80702 (Alliance) Randomized Clinical Trial.
              
            ","NA","Meyerhardt, Jeffrey A et al.","JAMA","2021/04/06","2526 patients","The addition of celecoxib to adjuvant chemotherapy with fluorouracil, leucovorin, and oxaliplatin (FOLFOX) did not significantly improve disease-free survival in patients with stage III colon cancer.","Disease-free survival","3-year disease-free survival was 76.3% for celecoxib-treated patients vs 73.4% for placebo-treated patients (hazard ratio [HR] for disease recurrence or death, 0.89; 95% CI, 0.76-1.03; P = .12).","Yes","Celecoxib vs placebo","https://pubmed.ncbi.nlm.nih.gov/33821899/?format=pubmed",
"
              
                Sacituzumab Govitecan in Metastatic Triple-Negative Breast Cancer.
              
            ","ASCENT","Bardia, Aditya et al.","NEJM","2021/04/21","468 patients","Sacituzumab govitecan was more effective than single-agent chemotherapy in prolonging progression-free and overall survival in patients with metastatic triple-negative breast cancer.","Progression-free survival","Median progression-free survival was 5.6 months with sacituzumab govitecan and 1.7 months with chemotherapy (hazard ratio for disease progression or death, 0.41; 95% CI, 0.32 to 0.52; P<0.001).","Blinded independent central review","sacituzumab govitecan vs single-agent chemotherapy","https://pubmed.ncbi.nlm.nih.gov/33882206/?format=pubmed",
"
              
                Adjuvant Nivolumab in Resected Esophageal or Gastroesophageal Junction Cancer.
              
            ","CheckMate 577 Investigators","Kelly, Ronan J et al.","NEJM","2021/03/31","794 patients","Patients with resected esophageal or gastroesophageal junction cancer who received nivolumab adjuvant therapy had a significantly longer disease-free survival than those who received placebo.","Disease-free survival","Median disease-free survival was 22.4 months (95% CI, 16.6 to 34.0) for the nivolumab group and 11.0 months (95% CI, 8.3 to 14.3) for the placebo group (hazard ratio for disease recurrence or death, 0.69; 96.4% CI, 0.56 to 0.86; P<0.001).","Double-blind","Nivolumab vs. Placebo","https://pubmed.ncbi.nlm.nih.gov/33789008/?format=pubmed",
"
              
                Pirtobrutinib in relapsed or refractory B-cell malignancies (BRUIN): a phase 1/2 study.
              
            ","NA","Mato, Anthony R et al.","Lancet","2021/03/07","323 patients","Pirtobrutinib was safe and effective in treating multiple B-cell malignancies, including those previously treated with covalent BTK inhibitors, and might address an unmet need for alternative therapies for these patients.","Maximum tolerated dose (phase 1) and overall response rate (ORR; phase 2)","ORR with pirtobrutinib was 62% (95% CI 53-71) in 121 efficacy evaluable patients with chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) treated with a previous covalent BTK inhibitor (median previous lines of treatment 4). ORR was 52% (95% CI 38-66) in 52 efficacy evaluable patients with mantle cell lymphoma (MCL) previously treated with covalent BTK inhibitors.","Not mentioned","Patients with previously treated B-cell malignancies","https://pubmed.ncbi.nlm.nih.gov/33676628/?format=pubmed",
"
              
                [177Lu]Lu-PSMA-617 versus cabazitaxel in patients with metastatic castration-resistant prostate cancer (TheraP): a randomised, open-label, phase 2 trial.
              
            ","TheraP Trial Investigators and the Australian and New Zealand Urogenital and ","Hofman, Michael S et al.","Lancet","2021/02/14","200","[(177)Lu]Lu-PSMA-617 compared with cabazitaxel in men with metastatic castration-resistant prostate cancer led to a higher PSA response and fewer grade 3 or 4 adverse events.","Prostate-specific antigen (PSA) response defined by a reduction of at least 50% from baseline","PSA responses were more frequent among men in the [(177)Lu]Lu-PSMA-617 group than in the cabazitaxel group (65 vs 37 PSA responses; 66% vs 37% by intention to treat; difference 29% (95% CI 16-42; p<0*0001; and 66% vs 44% by treatment received; difference 23% [9-37]; p=0*0016).","Unblinded","[(177)Lu]Lu-PSMA-617 and cabazitaxel","https://pubmed.ncbi.nlm.nih.gov/33581798/?format=pubmed",
"
              
                Transdermal oestradiol for androgen suppression in prostate cancer: long-term cardiovascular outcomes from the randomised Prostate Adenocarcinoma Transcutaneous Hormone (PATCH) trial programme.
              
            ","NA","Langley, Ruth E et al.","Lancet","2021/02/14","1694","Long-term data comparing tE2 patches with LHRHa show no evidence of a difference between treatments in cardiovascular mortality or morbidity. Oestrogens administered transdermally should be reconsidered for androgen suppression in the management of prostate cancer.","Cardiovascular morbidity and mortality","Hazard ratio 1*11, 95% CI 0*80-1*53; p=0*54 (including sudden deaths without post-mortem report); 1*20, 0*86-1*68; p=0*29 (confirmed group only).","Not stated","LHRHa (n=790) or tE2 patches (n=904)","https://pubmed.ncbi.nlm.nih.gov/33581820/?format=pubmed",
"
              
                A comparison of sunitinib with cabozantinib, crizotinib, and savolitinib for treatment of advanced papillary renal cell carcinoma: a randomised, open-label, phase 2 trial.
              
            ","NA","Pal, Sumanta K et al.","Lancet","2021/02/16","152 patients","Cabozantinib treatment resulted in significantly longer progression-free survival compared with sunitinib in patients with metastatic PRCC.","Progression-free survival (PFS)","PFS was longer in patients in the cabozantinib group (median 9*0 months, 95% CI 6-12) than in the sunitinib group (5*6 months, 3-7; hazard ratio for progression or death 0*60, 0*37-0*97, one-sided p=0*019).","Open-label","Sunitinib, cabozantinib, crizotinib, and savolitinib","https://pubmed.ncbi.nlm.nih.gov/33592176/?format=pubmed",
"
              
                Adavosertib plus gemcitabine for platinum-resistant or platinum-refractory recurrent ovarian cancer: a double-blind, randomised, placebo-controlled, phase 2 trial.
              
            ","NA","Lheureux, Stephanie et al.","Lancet","2021/01/24","124","Combining a Wee1 inhibitor with gemcitabine appears to be an effective treatment for high-grade serous ovarian cancer.","Progression-free survival","Progression-free survival was longer with adavosertib plus gemcitabine (median 4*6 months [95% CI 3*6-6*4] with adavosertib plus gemcitabine vs 3*0 months [1*8-3*8] with placebo plus gemcitabine; hazard ratio 0*55 [95% CI 0*35-0*90]; log-rank p=0*015).","Double-blind","Adavosertib plus gemcitabine vs placebo plus gemcitabine","https://pubmed.ncbi.nlm.nih.gov/33485453/?format=pubmed",
"
              
                Effect of Capecitabine Maintenance Therapy Using Lower Dosage and Higher Frequency vs Observation on Disease-Free Survival Among Patients With Early-Stage Triple-Negative Breast Cancer Who Had Received Standard Treatment: The SYSUCC-001 Randomized Clinical Trial.
              
            ","(SCBCG)","Wang, Xi et al.","JAMA","2020/12/10","443","Low-dose capecitabine maintenance therapy for 1 year, compared with observation, resulted in significantly improved 5-year disease-free survival for women with early-stage triple-negative breast cancer who received standard adjuvant treatment.","Disease-free survival","5-year disease-free survival was 82.8% in the capecitabine group and 73.0% in the observation group (hazard ratio [HR] for risk of recurrence or death, 0.64 [95% CI, 0.42-0.95]; P = .03).","Not stated","Capecitabine vs. Observation","https://pubmed.ncbi.nlm.nih.gov/33300950/?format=pubmed",
"
              
                First-line nivolumab plus ipilimumab in unresectable malignant pleural mesothelioma (CheckMate 743): a multicentre, randomised, open-label, phase 3 trial.
              
            ","NA","Baas, Paul et al.","Lancet","2021/01/24","713 patients","Nivolumab plus ipilimumab significantly extended overall survival compared to chemotherapy, with 2-year overall survival rates of 41% in the nivolumab plus ipilimumab group and 27% in the chemotherapy group.","Overall survival","Median overall survival 18.1 months (95% CI 16.8-21.4) in nivolumab plus ipilimumab group vs. 14.1 months (12.4-16.2) in chemotherapy group; hazard ratio 0.74 (96.6% CI 0.60-0.91); p=0.0020; 2-year overall survival rates were 41% (95% CI 35.1-46.5) in nivolumab plus ipilimumab group and 27% (21.9-32.4) in chemotherapy group.","Open-label","Nivolumab plus ipilimumab vs. platinum plus pemetrexed chemotherapy","https://pubmed.ncbi.nlm.nih.gov/33485464/?format=pubmed",
"
              
                Cemiplimab monotherapy for first-line treatment of advanced non-small-cell lung cancer with PD-L1 of at least 50%: a multicentre, open-label, global, phase 3, randomised, controlled trial.
              
            ","NA","Sezer, Ahmet et al.","Lancet","2021/02/14","710 patients","Cemiplimab monotherapy significantly improved overall survival and progression-free survival compared with chemotherapy in patients with advanced non-small-cell lung cancer with PD-L1 of at least 50%, providing a potential new treatment option for this patient population.","Overall survival and progression-free survival","Median overall survival was not reached (95% CI 17*9-not evaluable) with cemiplimab (n=283) versus 14*2 months (11*2-17*5) with chemotherapy (n=280; hazard ratio [HR] 0*57 [0*42-0*77]; p=0*0002). Median progression-free survival was 8*2 months (6*1-8*8) with cemiplimab versus 5*7 months (4*5-6*2) with chemotherapy (HR 0*54 [0*43-0*68]; p<0*0001).","Masked independent review committee","Cemiplimab vs. platinum-doublet chemotherapy","https://pubmed.ncbi.nlm.nih.gov/33581821/?format=pubmed",
